epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,21145.5,0.51075,0.80583,0.96296,0.92934,0.90164,0.94157,0.88185,0.22396,1.47484,0.48143,0.000220089,0.000220089,0.000220089
83,21408.3,0.51103,0.80764,0.96182,0.90848,0.90997,0.94276,0.88509,0.22408,1.3692,0.48251,0.00020909,0.00020909,0.00020909
84,21670.7,0.49725,0.77863,0.94715,0.92207,0.89274,0.9397,0.87803,0.22465,1.55057,0.48215,0.000198091,0.000198091,0.000198091
85,21937.7,0.53757,0.81505,0.97875,0.93893,0.88719,0.9468,0.88987,0.21794,1.01757,0.47958,0.000187092,0.000187092,0.000187092
86,22207.7,0.49284,0.74367,0.95141,0.93049,0.91574,0.94977,0.89307,0.21632,1.14035,0.47801,0.000176094,0.000176094,0.000176094
87,22472,0.50131,0.7527,0.95496,0.92521,0.91529,0.95067,0.89387,0.2155,1.17994,0.47941,0.000165095,0.000165095,0.000165095
88,22739,0.50836,0.74686,0.96845,0.93723,0.9106,0.95102,0.89576,0.21197,1.10303,0.47645,0.000154096,0.000154096,0.000154096
89,23007.5,0.52129,0.77151,0.97752,0.92758,0.91967,0.95059,0.89499,0.21314,1.27236,0.47774,0.000143097,0.000143097,0.000143097
90,23272,0.49263,0.73571,0.95006,0.93618,0.90043,0.94721,0.89109,0.21291,1.07532,0.47626,0.000132098,0.000132098,0.000132098
91,23539.1,0.4406,0.65257,0.91488,0.93444,0.9296,0.95461,0.89746,0.21307,1.46378,0.47817,0.000121099,0.000121099,0.000121099
92,23804.1,0.42852,0.59775,0.90987,0.93723,0.92061,0.95007,0.89232,0.21143,1.51728,0.47614,0.0001101,0.0001101,0.0001101
93,24067.1,0.41871,0.565,0.91193,0.9407,0.93044,0.95387,0.89803,0.2093,1.38206,0.47467,9.91012e-05,9.91012e-05,9.91012e-05
94,24333.3,0.42336,0.5567,0.90872,0.93637,0.94108,0.95874,0.90254,0.2058,1.26296,0.47357,8.81023e-05,8.81023e-05,8.81023e-05
95,24602.6,0.41631,0.55058,0.91054,0.94594,0.93099,0.96051,0.90551,0.20383,1.13995,0.47253,7.71034e-05,7.71034e-05,7.71034e-05
96,24871,0.41696,0.54914,0.89346,0.94536,0.9257,0.95999,0.90676,0.20152,1.06148,0.47309,6.61045e-05,6.61045e-05,6.61045e-05
97,25133.4,0.41149,0.54247,0.90987,0.94251,0.93287,0.96143,0.90763,0.20242,1.0318,0.47376,5.51056e-05,5.51056e-05,5.51056e-05
98,25397.6,0.39865,0.5396,0.90714,0.94555,0.93562,0.96282,0.90669,0.20081,0.9995,0.4714,4.41067e-05,4.41067e-05,4.41067e-05
99,25665.8,0.40189,0.53842,0.90555,0.93637,0.94298,0.96241,0.90957,0.19912,1.03919,0.47019,3.31078e-05,3.31078e-05,3.31078e-05
100,25926.2,0.39778,0.49505,0.91197,0.94761,0.93473,0.96323,0.91076,0.1979,1.01409,0.46996,2.21089e-05,2.21089e-05,2.21089e-05
